lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1249_translation,version_1250_translation,english_translation
θεός,123,unigram,masculine,accusative,singular,Nzakomba,78.14818979727335,Nzakomba,Nzakomba,God
θεός,196,unigram,masculine,nominative,singular,Nzakomba,204.74150614225792,Nzakomba,Nzakomba,God
κύριος,124,unigram,masculine,nominative,singular,Nkolo,5.142878526403628,Nkolo,Nkolo,"Lord, lord, master"
γραφή,118,unigram,feminine,accusative,plural,bikotelo,5.54548431140416,bikotelo,bikotelo,Scripture
γραφή,48,unigram,feminine,accusative,singular,ekotelo,1.807652313631216,ekotelo,,Scripture
γραφή,252,unigram,feminine,nominative,plural,,,bikokyame,biele,Scripture
γραφή,311,unigram,feminine,nominative,singular,ekotelo,3.011504394054482,ekotelo,ekotelo,Scripture
ἄγγελος,88,unigram,masculine,accusative,plural,bikima,3.332296244115461,bikima,bikima,angel
ἄγγελος,79,unigram,masculine,accusative,singular,ekima,2.604948794868477,ekima,ekima,angel
ἄγγελος,45,unigram,masculine,nominative,plural,bikima,2.8345851347776305,bikima,bikima,angel
ἄγγελος,98,unigram,masculine,nominative,singular,ekima,19.9537824759224,ekima,ekima,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,,,bikima,baolosangela,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,,,ntalekolakʼende,ondotomaki,apostle
ἐξουσία,186,unigram,feminine,accusative,singular,mpifo,7.295644097660523,mpifo,mpifo,authority
βρέφος,15,unigram,neuter,accusative,plural,afomw,1.0595448471241755,,afomw,babies
βρέφος,309,unigram,neuter,accusative,singular,,,sanduku,ambi,babies
ἀποθήκη,257,unigram,feminine,accusative,plural,efongelo,1.1505393953072671,,efongelo,barn
ἀποθήκη,66,unigram,feminine,accusative,singular,,,tsa,efongelo,barn
ἀρχή,169,unigram,feminine,accusative,singular,aoleneya,1.0662847647816462,,aoleneya,beginning
ζώνη,160,unigram,feminine,accusative,plural,totontombe,1.096057314542422,,totontombe,belt
ζώνη,212,unigram,feminine,accusative,singular,bosenge,1.0960524252565438,bosenge,,belt
βλασφημία,194,unigram,feminine,nominative,plural,tosaola,3.999796044026677,tosaola,tosaola,blasphemy
πλοῖον,96,unigram,neuter,accusative,plural,biato,2.821549358155869,biato,biato,boat
πλοῖον,294,unigram,neuter,accusative,singular,wato,14.769120703483503,wato,wato,boat
πλοῖον,227,unigram,neuter,nominative,plural,Baocikʼetukuluku,1.1616361309642669,Baocikʼetukuluku,,boat
πλοῖον,214,unigram,neuter,nominative,singular,wato,2.748578187019525,wato,wato,boat
σῶμα,202,unigram,neuter,nominative,plural,tolaka,3.7748049376217154,tolaka,tolaka,body
σῶμα,57,unigram,neuter,nominative,singular,jonge,4.071600263313799,jonge,jonge,body
κλῆμα,138,unigram,neuter,nominative,singular,,,etafe,etafi,branch
ἄρτος,298,unigram,masculine,accusative,plural,mampa,22.21905511417498,mampa,mampa,bread
ἄρτος,324,unigram,masculine,accusative,singular,mampa,21.538411381598742,mampa,mampa,bread
ἄρτος,146,unigram,masculine,nominative,plural,mampa,5.722371420234439,mampa,mampa,bread
ἄρτος,36,unigram,masculine,nominative,singular,mampa,6.521112149792454,mampa,mampa,bread
ἀδελφός,284,unigram,masculine,accusative,plural,,,lʼakune,akune,brother
ἀδελφός,109,unigram,masculine,accusative,singular,okosangi,1.2929136434111674,okosangi,okosangi,brother
ἀδελφός,100,unigram,masculine,nominative,plural,,,nyango,akune,brother
ἀδελφός,220,unigram,masculine,nominative,singular,,,nkana,bokune,brother
στῆθος,270,unigram,neuter,accusative,singular,ntolo,4.29528106660374,ntolo,ntolo,"chest, breast"
ἀρχιερεύς,232,unigram,masculine,accusative,plural,nkanga,2.3393816517068733,nkanga,nkanga,chief priest
ἀρχιερεύς,58,unigram,masculine,accusative,singular,nkanga,1.7918646754360497,nkanga,nkanga,chief priest
ἀρχιερεύς,108,unigram,masculine,nominative,plural,nkanga,1.262136379445179,nkanga,nkanga,chief priest
ἀρχιερεύς,238,unigram,masculine,nominative,singular,joso,1.2046772474365608,joso,joso,chief priest
παῖς,224,unigram,masculine,accusative,plural,,,bʼaende,aende,child
τέκνον,318,unigram,neuter,accusative,plural,bana,5.168242211257898,bana,bana,child
τέκνον,166,unigram,neuter,accusative,singular,jende,1.028984901689623,jende,,child
τέκνον,179,unigram,neuter,nominative,singular,Bona,2.5718384656212985,Bona,Bona,child
παιδίον,14,unigram,neuter,accusative,plural,tonkune,1.6344356507144935,tonkune,tonkune,child
παιδίον,83,unigram,neuter,accusative,singular,inkune,2.9298144666866093,,inkune,child
παιδίον,158,unigram,neuter,nominative,plural,tonkune,2.6509990318807586,tonkune,tonkune,child
παιδίον,38,unigram,neuter,nominative,singular,ngol,1.0011596188708356,,ngol,child
πόλις,170,unigram,feminine,accusative,plural,benanga,6.490743415217256,benanga,benanga,city
πόλις,62,unigram,feminine,accusative,singular,,,ndʼonanga,onanga,city
πύλη,193,unigram,feminine,nominative,singular,,,endiela,bol,city gate
χιτών,104,unigram,masculine,accusative,plural,,,kasakʼife,efe,"clothing, undergarments"
χιτών,27,unigram,masculine,accusative,singular,,,wʼaliko,bonkoto,"clothing, undergarments"
ἱμάτιον,121,unigram,neuter,accusative,plural,benkoto,5.903472923210683,benkoto,benkoto,coat
ἱμάτιον,120,unigram,neuter,accusative,singular,bonkoto,4.28758241101455,bonkoto,bonkoto,coat
ἐντολή,77,unigram,feminine,accusative,plural,,,bisekyelo,besise,commandment
ἐντολή,75,unigram,feminine,accusative,singular,bosise,2.081299090118196,bosise,bosise,commandment
συνέδριον,303,unigram,neuter,accusative,plural,,,nteke,bifokund,council
συνέδριον,50,unigram,neuter,accusative,singular,nteke,3.0649280467419975,nteke,nteke,council
χώρα,273,unigram,feminine,accusative,singular,,,ndʼese,ese,"country, countryside"
ὄχλος,54,unigram,masculine,accusative,plural,bitukuluku,3.005159977815026,bitukuluku,bitukuluku,crowd
ὄχλος,9,unigram,masculine,accusative,singular,etukuluku,6.429823621626128,etukuluku,etukuluku,crowd
ὄχλος,90,unigram,masculine,nominative,plural,bitukuluku,3.331587318202639,bitukuluku,bitukuluku,crowd
ὄχλος,266,unigram,masculine,nominative,singular,etukuluku,7.7159042519942185,etukuluku,etukuluku,crowd
θυγάτηρ,102,unigram,feminine,nominative,plural,talolelake,1.2557785635464316,,talolelake,daughter
θυγάτηρ,297,unigram,feminine,nominative,singular,,,owʼomoto,omoto,daughter
ἡμέρα,70,unigram,feminine,accusative,plural,bembile,3.6625245037936396,bembile,bembile,day
ἡμέρα,80,unigram,feminine,accusative,singular,mbile,4.661742402088449,mbile,mbile,day
ἡμέρα,2,unigram,feminine,nominative,plural,bembile,8.674457450443857,bembile,bembile,day
ἡμέρα,64,unigram,feminine,nominative,singular,,,mbilʼeko,mbile,day
ὀφειλέτης,112,unigram,masculine,nominative,singular,batalento,1.096057314542422,,batalento,debtor
δαιμόνιον,28,unigram,neuter,accusative,plural,bademona,15.271673519026864,bademona,bademona,demon
δαιμόνιον,314,unigram,neuter,accusative,singular,demona,30.568184542884424,demona,demona,demon
δαιμόνιον,181,unigram,neuter,nominative,plural,bademona,4.00171795300729,bademona,bademona,demon
δαιμόνιον,157,unigram,neuter,nominative,singular,demona,5.226026750760247,demona,demona,demon
δηνάριον,289,unigram,neuter,accusative,plural,,,denalio,francs,denarius (about a day's wages)
δηνάριον,148,unigram,neuter,accusative,singular,,,denalio,franc,denarius (about a day's wages)
μαθητής,163,unigram,masculine,accusative,plural,,,bakimiʼakae,bakimi,disciple
μαθητής,319,unigram,masculine,accusative,singular,,,eefe,bokimi,disciple
μαθητής,260,unigram,masculine,nominative,plural,bakimi,23.001159401740694,bakimi,bakimi,disciple
μαθητής,317,unigram,masculine,nominative,singular,bokimi,19.124664309516355,bokimi,bokimi,disciple
νόσος,3,unigram,feminine,accusative,plural,nkangi,1.2729171917269224,nkangi,nkangi,disease
νόσος,69,unigram,feminine,accusative,singular,,,nkaana,tongoi,disease
περιστερά,89,unigram,feminine,accusative,plural,bimbenga,1.8348855830362711,bimbenga,bimbenga,dove
περιστερά,52,unigram,feminine,accusative,singular,,,Bolimo,embenga,dove
οὖς,137,unigram,neuter,accusative,plural,,,lʼatoi,okoza,ear
οὖς,265,unigram,neuter,accusative,singular,,,litoi,nsamba,ear
σεισμός,187,unigram,masculine,nominative,plural,bifukyelo,1.044106373330679,bifukyelo,,"earthquakes, storm"
σεισμός,60,unigram,masculine,nominative,singular,bala,1.111663906837164,bala,bala,"earthquakes, storm"
τέλος,258,unigram,neuter,accusative,singular,nsukela,2.677991752737571,nsukela,nsukela,end
αἰών,285,unigram,masculine,accusative,singular,seko,1.8195826482802488,seko,seko,eternity
ὀφθαλμός,21,unigram,masculine,accusative,plural,baiso,2.3576139712268995,baiso,baiso,eye
ὀφθαλμός,61,unigram,masculine,nominative,plural,baiso,3.6026532310975377,baiso,baiso,eye
ὀφθαλμός,282,unigram,masculine,nominative,singular,liso,4.089766408225509,liso,liso,eye
πρόσωπον,111,unigram,neuter,accusative,plural,bilongi,1.807652313631216,bilongi,,face
πρόσωπον,176,unigram,neuter,accusative,singular,elongi,2.8567830805836683,elongi,elongi,face
λιμός,6,unigram,feminine,nominative,plural,bifukyelo,1.0595416318177244,bifukyelo,,famine
λιμός,125,unigram,masculine,nominative,singular,okwelakʼokiliʼoko,1.096071996175396,okwelakʼokiliʼoko,,famine
γεωργός,239,unigram,masculine,nominative,plural,,,lisango,bafongi,"farmer, tenant"
γεωργός,47,unigram,masculine,nominative,singular,,,bokoli,EMI,"farmer, tenant"
πατήρ,288,unigram,masculine,accusative,singular,Fafa,1.7604873472522666,Fafa,Fafa,father
πατήρ,296,unigram,masculine,nominative,plural,,,mana,baise,father
πατήρ,171,unigram,masculine,nominative,singular,Fafa,3.358331489502577,Fafa,Fafa,father
σύνδουλος,132,unigram,masculine,accusative,plural,,,lʼiyʼalangwa,alangwa,"fellow-servant, colleague"
σύνδουλος,300,unigram,masculine,nominative,plural,,,bakwalaʼamo,bandielaki,"fellow-servant, colleague"
ἀγρός,313,unigram,masculine,accusative,plural,,,lʼasala,basala,field
ἀγρός,37,unigram,masculine,accusative,singular,lisala,5.916769426649566,lisala,lisala,field
δάκτυλος,162,unigram,masculine,accusative,singular,lofanje,2.619356767293175,lofanje,lofanje,finger
ἰχθύς,141,unigram,masculine,accusative,plural,nse,2.013777090881778,nse,nse,fish
ἰχθύς,175,unigram,masculine,accusative,singular,nse,1.7090038236593676,nse,nse,fish
δίκτυον,97,unigram,neuter,accusative,plural,,,bejanga,betai,fishing net
δίκτυον,184,unigram,neuter,accusative,singular,,,bojanga,otai,fishing net
τροφή,229,unigram,feminine,accusative,plural,osomba,1.1189296841144976,,osomba,food
τροφή,308,unigram,feminine,accusative,singular,,,bʼilombe,Oki,food
πούς,221,unigram,masculine,accusative,plural,,,bakaka,akaka,foot
καρπός,168,unigram,masculine,accusative,plural,bamuka,2.3542939485319954,bamuka,bamuka,"fruit, crop, harvest"
καρπός,217,unigram,masculine,accusative,singular,,,bamuka,amuka,"fruit, crop, harvest"
πλήρωμα,255,unigram,neuter,accusative,plural,,,bikociki,bokociki,fullness
πλήρωμα,307,unigram,neuter,accusative,singular,etasusana,1.0595352057902494,etasusana,,fullness
γενεά,218,unigram,feminine,accusative,singular,,,bʼeotswelo,eotswelo,generation
γενεά,136,unigram,feminine,nominative,singular,eotswelo,3.2086901054637864,eotswelo,eotswelo,generation
δῶρον,287,unigram,neuter,accusative,plural,nganji,5.317353924683177,nganji,nganji,gift
δῶρον,149,unigram,neuter,accusative,singular,nganji,1.4846918401576674,nganji,nganji,gift
ἡγεμών,155,unigram,masculine,accusative,plural,,,rois,gouverneurs,"governor, ruler"
ἡγεμών,12,unigram,masculine,accusative,singular,,,Koende,gouverneur,"governor, ruler"
ἀσπασμός,299,unigram,masculine,accusative,plural,,,bisombe,nsambela,greeting
ἀσπασμός,156,unigram,masculine,accusative,singular,aotamba,1.1613548718850133,,aotamba,greeting
ὁδηγός,4,unigram,masculine,nominative,singular,balonji,2.265538234230132,balonji,balonji,guide
θρίξ,84,unigram,feminine,nominative,plural,,,bauma,babwo,hair
χείρ,291,unigram,feminine,accusative,plural,,,bakata,akata,hand
χείρ,205,unigram,feminine,accusative,singular,likata,28.871460723438428,likata,likata,hand
κεφαλή,190,unigram,feminine,accusative,singular,botsa,1.5108996293809325,,botsa,head
στάχυς,191,unigram,masculine,accusative,plural,,,basala,asangu,head of grain
καρδία,30,unigram,feminine,accusative,plural,betema,1.694677115302848,,betema,heart
καρδία,268,unigram,feminine,accusative,singular,betema,1.2836864040295135,,betema,heart
καρδία,177,unigram,feminine,nominative,singular,betema,2.661934404616978,,betema,heart
οὐρανός,251,unigram,masculine,accusative,singular,loola,18.21853067652117,loola,loola,"heaven, sky"
οὐρανός,182,unigram,masculine,nominative,singular,lʼokili,1.2017227837737805,lʼokili,,"heaven, sky"
ὥρα,24,unigram,feminine,nominative,singular,,,ekeke,heure,hour
οἰκία,143,unigram,feminine,accusative,plural,tolombe,2.4638134756555896,tolombe,tolombe,house
οἰκία,304,unigram,feminine,accusative,singular,,,ndʼilombe,ilombe,house
οἶκος,263,unigram,masculine,accusative,plural,banjambe,1.0963047455737722,,banjambe,"house, home"
οἶκος,20,unigram,masculine,accusative,singular,,,ndʼilombe,ilombe,"house, home"
κριτής,286,unigram,masculine,nominative,plural,,,bozʼako,juges,judge
κριτής,151,unigram,masculine,nominative,singular,juge,1.506669580074688,,juge,judge
βασιλεύς,95,unigram,masculine,accusative,plural,,,rois,gouverneurs,king
βασιλεύς,55,unigram,masculine,accusative,singular,,,Roi,roi,king
βασιλεία,73,unigram,feminine,accusative,plural,aoloeneya,1.2362463198977256,aoloeneya,aoloeneya,kingdom
βασιλεία,147,unigram,feminine,accusative,singular,likulaka,9.111690920376493,likulaka,likulaka,kingdom
κόπος,185,unigram,masculine,accusative,plural,,,botemʼolito,bolemo,"labour, work, trouble, difficulty"
λύχνος,215,unigram,masculine,nominative,singular,itswa,1.7671984513190173,itswa,itswa,lamp
κλῆρος,1,unigram,masculine,accusative,singular,,,mbesi,mbese,"lots (casting of lots), inheritance"
ἄνθρωπος,275,unigram,masculine,accusative,plural,,,beko,banto,man
ἄνθρωπος,241,unigram,masculine,accusative,singular,bonto,1.8014320523260574,bonto,bonto,man
ἄνθρωπος,105,unigram,masculine,nominative,plural,banto,1.9824616727665985,banto,banto,man
ἄνθρωπος,161,unigram,masculine,nominative,singular,,,Bontʼomo,bonto,man
ἀνήρ,230,unigram,masculine,accusative,plural,beto,1.106471799422435,,beto,"man, husband"
ἀνήρ,234,unigram,masculine,accusative,singular,bome,7.336752075448053,bome,bome,"man, husband"
ἀνήρ,135,unigram,masculine,nominative,plural,baende,1.9300500540776167,baende,baende,"man, husband"
ἀνήρ,222,unigram,masculine,nominative,singular,,,aoloonda,bala,"man, husband"
